Masse - Plot 0	Strom - Plot 0	
122,596	0,044	
122,910	0,044	
123,127	0,044	
123,224	0,095	
123,442	0,044	
123,539	0,044	
123,757	0,095	
123,854	0,044	
124,169	0,044	
124,267	0,095	
124,583	0,044	
124,680	0,095	
124,899	0,095	
124,997	0,145	
125,314	0,247	
125,411	0,502	
125,631	0,655	
125,851	0,706	
126,047	0,655	
126,267	0,706	
126,463	0,757	
126,684	0,757	
126,904	0,757	
127,101	0,706	
127,322	0,706	
127,519	0,757	
127,741	0,858	
127,938	0,858	
128,160	0,757	
128,382	0,757	
128,580	0,757	
128,802	0,706	
129,000	0,655	
129,223	0,604	
129,446	0,553	
129,645	0,553	
129,769	0,451	
129,967	0,451	
130,067	0,349	
130,291	0,298	
130,390	0,298	
130,614	0,247	
130,714	0,247	
130,938	0,247	
131,038	0,196	
131,263	0,145	
131,363	0,145	
131,588	0,145	
131,688	0,196	
132,013	0,196	
132,113	0,145	
132,339	0,145	
132,439	0,145	
132,765	0,196	
132,866	0,349	
133,193	0,4	
133,293	0,349	
133,520	0,247	
133,620	0,196	
133,847	0,196	
133,948	0,145	
134,276	0,196	
134,377	0,196	
134,605	0,145	
134,706	0,196	
134,934	0,145	
135,136	0,095	
136,355	0,044	
136,457	0,044	
136,788	0,044	
136,890	0,044	
137,120	0,044	
137,222	0,044	
137,452	0,044	
137,554	0,095	
137,887	0,095	
137,989	0,044	
138,322	0,044	
138,553	0,044	
138,656	0,095	
138,887	0,095	
139,092	0,145	
139,324	0,095	
139,427	0,044	
139,658	0,044	
139,761	0,095	
